UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
1170	189.5	II	Paume	Palm	手掌	lòng bàn tay		pāt ṭai	ɓaːt ɗaj	ɓat ɗɛj				body parts	parties du corps				
1171	189.6	III	Lignes de la main	Palm	手掌	lòng bàn tay, gan bàn tay	đường chỉ tay	-	-					body parts	parties du corps				
1172	190	I	Main	Hand	手	bàn tay		(pra'ap¢) ṭai	(prəʔɑp) ɗaj	ɗɛj				body parts	parties du corps				
1173	190.1	III	Dos de la main	The back of the hand	手背	mu bàn tay		-	-					body parts	parties du corps				
1174	190.2	III	Poignet	Wrist	（手）腕	cổ tay		-	-					body parts	parties du corps				
1175	190.3	III	Poing	Fist	拳头	quả đấm		-	-					body parts	parties du corps				
1176	190.4	III	Tendre la main	Stretch out one's hand	伸（出）手	chìa tay		-	-					body parts	parties du corps				
1177	191	I	Doigts	Fingers	手指	ngón tay		mrām ṭai	məriəm	mràːm ɗɛj				body parts	parties du corps				
1178	191.1	III	Pouce	Thumb	拇指	ngón cái		-	-					body parts	parties du corps				
1179	191.2	III	Index	Index finger	食指	ngón trỏ		-	-					body parts	parties du corps				
1180	191.3	III	Majeur	Middle finger	中指	ngón giữa		-	-					body parts	parties du corps				
1181	191.4	III	Annulaire	Ring finger	无名指	ngón áp út		-	-					body parts	parties du corps				
1182	191.5	III	Auriculaire	Little finger	小指	ngón út		-	-					body parts	parties du corps				
1183	191.6	III	Phalange	Phalanx	手指节，指骨（手指的一节）	đốt (ngón tay)	lóng tay	-	-					body parts	parties du corps				
1184	191.7	III	Montrer du doigt	To point (with the finger) at	指（用手指头指）	chỉ tay		-	-					body parts	parties du corps				
1185	192	I	Ongle	(Finger) nail	指甲	móng tay		kracak ṭai	krəcɑːʔ	krɔcɒːk ɗɛj				body parts	parties du corps				
1186	192.1	III	Gratter de l’ongle	To scratch (with one's nail)	搔（用手指甲）	gãi		-	-					body parts	parties du corps				
1187	192.2	III	Curer, se curer les ongles	To pick	剔，剔指甲	cạo	khỡ móng tay	-	-					body parts	parties du corps				
1188	193	I	Mamelle, sein	Breast (female)	乳房	vú		(kansom) ṭoḥ	(kənsaom) ɗɑh	ɗɒh				body parts	parties du corps				
1189	193.1	III	Têtons	Nipples	乳头	núm vú		-	-					body parts	parties du corps				
1190	193.2	III	Lait	Milk	乳汁，奶	sữa		-	-					body parts	parties du corps				
1191	194	I	Ventre	Belly (abdomen)	肚	bụng		boḥ	puəh	pɒ`h				body parts	parties du corps				
1192	195	I	Dos	Back	背	lưng		khnaṅ	kʰnɑːŋ	kʰnɒːŋ				body parts	parties du corps				
1193	195.1	III	Fesses, derrière	Buttocks	屁股，臀部	mông, đít		-	-					body parts	parties du corps				
1194	196	I	Genou	Knee	膝，膝盖	đầu gối		kpāl jaṅgaṅ¢	kʰɓaːl cəŋkuəŋ	(c)ɔŋkòŋ				body parts	parties du corps				
1195	196a	III	Rotule	Patella	髌（骨），膝盖骨	xương bánh chè		-	-					body parts	parties du corps				
1196	196b	III	Arrière des genoux	Back of knee	腘	kheo	lưng gối	-	-					body parts	parties du corps				
1197	196.1	II	Cuisse	Thigh	股，大腿	bắp đùi, vế		bhlau	(kə)pʰləw	pʰlaw				body parts	parties du corps				
1198	196.1a	III	Jambe inférieure	Lower leg	小腿	cẳng chân, ống chân		-	-					body parts	parties du corps				
1199	196.1b	III	Entrejambe	Crotch	腿裆	háng, trôn		-	-					body parts	parties du corps				
1200	196.2	II	Mollet	Calf (or leg)	小腿肚	bắp chân (sau ống chân)		bhluot jœṅ	pʰluət cəːŋ	pʰluat cə`ːŋ				body parts	parties du corps				
1201		IV						kaṁbhuon jœṅ	kəmpʰuən cəːŋ					body parts	parties du corps				
1202		IV						trayūṅ cek	trəjoːŋ ceːc					body parts	parties du corps				
1203	197	I	Jambe	Leg	腿	cái giò, cái chân		jœṅ	cəːŋ	hmɒŋ cə`ːŋ				body parts	parties du corps				
1204		IV						smaṅ	smɑːŋ					body parts	parties du corps				
1205	198	I	Pied	Foot	脚	bàn chân		(pra'ap¢) jœṅ	prəʔɑp cəːŋ	cə`ːŋ				body parts	parties du corps				
1206		IV						tuo jœṅ	tuə cəːŋ					body parts	parties du corps				
1207	198.1	III	Orteils, doigts de pied	Toe	脚趾	ngón chân		-	-					body parts	parties du corps				
1208	198.2	III	Orteil*, gros orteil	Big toe	（足）大趾，拇趾	ngón chân cái		-	-					body parts	parties du corps				
1209	198.3	III	Cou du pied, cou-de-pied	Instep	脚背	mu bàn chân	cổ chân	-	-					body parts	parties du corps				
1210	198.4	III	Cheville (anat.)	Ankle	踝	mắt cá		-	-					body parts	parties du corps				
1211	198.5	III	Dessus du pied	Tiptoe	脚尖	mũi chân	mu bàn chân	-	-					body parts	parties du corps				
1212	198.6	III	Plante du pied	Sole	脚掌，脚底	lòng bàn chân		-	-					body parts	parties du corps				
1213	198.7	III	Empreinte du pied	Footprint	脚印	dấu chân		-	-					body parts	parties du corps				
1214	198.8	III	Talon	Heel	脚跟	gót chân		-	-					body parts	parties du corps				
1215	199	I	Poil (du corps)	Hair (of body)	毛，毛发	lông mình		rom	rɷːm	məmèː				body parts	parties du corps				
1216		IV	(région.)					mamīs	məmiːh					body parts	parties du corps				
1217	199a	III	Poil du pubis	Pubes	阴毛	lông mu	lông lồn	-	-					body parts	parties du corps				
1218	199.1	II	Peau	Skin	皮	da		spæk	sɓaec	səɓɛːk				body parts	parties du corps				
1219	200	I	Os	Bone	骨	xương		ch'ịṅ (ch'æṅ)	cʰʔɤŋ (cʰʔaeɲ)	cɤŋ				body parts	parties du corps				
1220	200.1	III	Clavicule	Clavicle	锁骨，锁子骨	xương đòn	xương quai xanh	-	-					body parts	parties du corps				
1221	200.2	III	Côtes	Ribs	肋骨	xương sườn		-	-					body parts	parties du corps				
1222	200.3	III	Omoplate	Scapula	肩胛骨	xương bả vai		-	-					body parts	parties du corps				
1223	200.4	III	Hanche	Haunch	腰腿部	hông, háng		-	-					body parts	parties du corps				
1224	200.5	III	Colonne vertébrale	Spine	脊柱	xương sống		-	-					body parts	parties du corps				
1225	200.6	III	Coccyx	Coccyx	尾骨	xương cụt		-	-					body parts	parties du corps				
1226	200.7	III	Articulation	Joint	骨节	khớp xương		-	-					body parts	parties du corps				
1227	200.8	III	Moëlle	Marrow	（骨）髓	tủy		-	-					body parts	parties du corps				
1228	201	I	Sang	Blood	血	máu		jhām	cʰiəm	cʰàːm				body parts	parties du corps				
1229	201.1	III	Veines	Veins	静脉	tĩnh mạch	mạch máu	-	-					body parts	parties du corps				
1230	201.2	III	Couler, le sang coule	To flow (blood flows out)	流（血流出来）	(máu) chảy	máu chảy	-	-					body parts	parties du corps				
1231	202	I	Chair	Flesh	肉	thịt		sāc¢	sac	sɛc				body parts	parties du corps				
1232	202.1	III	Muscles	Muscles	肌肉	cơ	bắp thịt	-	-					body parts	parties du corps				
1233	202.2	III	Tendre ses muscles, bander ses muscles	To tense one's muscles, to tauten one's muscles	让肌肉绷紧	căng bắp thịt		-	-					body parts	parties du corps				
1234	202.3	III	Tendon (général)	Tendon	腱	gân		-	-					body parts	parties du corps				
1235	202.4	III	Tendon d’Achille	Achilles' tendon	跟腱	gân gót chân		-	-					body parts	parties du corps				
1236	203	I	Urine	Urine	尿	nước tiểu		dịk nom	tɨk nɷːm	tɯ`k nòːm				body parts	parties du corps				
1237	203.1	III	Vessie	Urinary bladder	膀胱	bọng đái, bàng quang	bóng đái	-	-					body parts	parties du corps				
1238	203.2	III	Uriner, aller uriner	Urinate	排尿，小便，尿尿	(đi) tiểu, đái	đi đái	-	-					body parts	parties du corps				
1239	203.3	III	Anus	Anus	肛门	lỗ đít		-	-					body parts	parties du corps				
1240	204	I	Excréments	Excrements, faeces	屎，粪	cứt		'āc	ʔac	ʔac				body parts	parties du corps				
1241	204a	III	Déféquer, aller déféquer	Defecate	大便	ỉa		-	-					body parts	parties du corps				
1242	204b	III	S’essuyer le derrière	To wipe one's behind	擦自己的屁股	lau đít		-	-					body parts	parties du corps				
1243	204.1	II	Intestins	Intestines	肠	ruột		boḥ vien	puəh viən	poh vìan				body parts	parties du corps				
1244	204.2	II	Estomac	Stomach	胃	dạ dày		krabaḥ	krəpeəh	pɔpàh ɓaːj				body parts	parties du corps				
1245	204.3	II	Poumon	Lung	肺	phổi		suot	suət	súat				body parts	parties du corps				
1246	204.3a	III	Respirer	Breathe	呼吸	thở		-	-					body parts	parties du corps				
1247	204.3b	III	Haleter	Gasp, pant	喘息	thở hổn hển	thở hồng hộc	-	-					body parts	parties du corps				
1248	204.3c	III	Inspirer fortement	To breathe in strongly, deep inspiration	深吸气	hít mạnh		-	-					body parts	parties du corps				
1249	204.3d	III	Haleine, souffle	Breath	气息	hơi thở		-	-					body parts	parties du corps				
1250	204.4	II	Foie	Liver	肝	gan		thlœm	tʰlaəm	tʰlə´ːm				body parts	parties du corps				
1251	204.5	II	Rate	Spleen	脾	lá lách		phāl	pʰaːl	pʰáːl				body parts	parties du corps				
1252	204.6	II	Rein	Kidney	肾，腰子	thận		'aṅgañ¢ caṅkeḥ	ʔəŋkuɲ cəŋkɛh	-				body parts	parties du corps				
1253	204.7	II	Cœur 	Heard	心	tim		peḥ ṭūṅ	ɓɛh ɗoːŋ	ɓɛh ɗóːŋ				body parts	parties du corps				
1254	204.7a	III	Battre, le cœur bat	Beat (the heart beats)	（心）跳	(tim) đập	tim đập	-	-					body parts	parties du corps				
1255	204.7b	III	Pouls	Pulse	脉搏	mạch (tim), nhịp tim	mạch tim	-	-					body parts	parties du corps				
1256	204.8	II	Fiel	Gall	胆汁	mật gan		pram"āt¢	prəmɔət	pəmàt				body parts	parties du corps				
1257	205	I	Parties génitales	Genitals	生殖器	bộ phận (cơ quan) sinh dục	bộ sinh dục	-	-					body parts	parties du corps				
1258	206	I	Pénis	Penis	阴茎，阳物，阳具	con cặc, dương vật	con cặc	-	-					body parts	parties du corps				
1259	206.1	III	Gland	Glans (penis)	龟头，阴茎头	mào cặc, bao quy đầu	mào cặc	-	-					body parts	parties du corps				
1260	207	I	Testicules	Testicles	睾丸	hòn dái, trứng dái	trứng dái	-	-					body parts	parties du corps				
1261	207.1	III	Bourses	Bursa, purse	囊	bìu, bị dái	bị dái	-	-					body parts	parties du corps				
1262	208	I	vagin	Vagina	阴道	lồn, âm đạo	lồn	-	-					body parts	parties du corps				
1263	209	I	Clitoris	Clitoris	阴蒂	âm vật, âm hạch, mòng đóc	âm hạch, mòng đóc	-	-					body parts	parties du corps				
1264	210	I	Matrice	Womb	子宫	dạ con		spūn	səɓoːn	-				body parts	parties du corps				
1265	210.1	II	Goitre	Goitre	甲状腺肿	bướu cổ		bak ka	pɔːʔ kɑː	kèː kɒ´ː				body parts	parties du corps				
1266	210.2	II	Nombril	Navel	脐	cái rún		phcit	pʰc/sɤt	pəcɛt				body parts	parties du corps				
1267	210.3	II	Cordon ombilical	Umbilical cord	脐带	cuống nhau		daṅ phcit	tɔːŋ pʰc/sɤt	tòːŋ pəcɛt				body parts	parties du corps				
1268	210.4	II	Placenta	Placenta (after birth)	胎盘，衣胞	nhau		suk (kūn)	sok (koːn)	tòːŋ sɒ´h				body parts	parties du corps				
1269	211	I	Mesurer	Measure	测量	đo lường		-	-	-				measures	mesures				
1270	211.1	III	Instrument de mesure	Measure instrument	测绘仪	dụng cụ đo lường		-	-	-				measures	mesures				
1271	212	I	Empan	Span	一拃	gang tay		-	-	-				measures	mesures				
1272	212a	III	Empan (pouce-index)	Span (thumb to little finger or to forefinger)	一拃（张开手掌侯大拇指和食指两端的距离）	gang tay (khoảng cách từ ngón cái đến ngón trỏ)		-	-	-				measures	mesures				
1273	212b	II	Empan (pouce-majeur)	Inch (thumb to little finger or to middle finger)	一拃（指张开大姆指和中指两端的距离）	gang tay (khoảng cách từ ngón cái đến ngón giữa)		-	-	-				measures	mesures				
1274	212c	III	Empan (pouce auriculaire)	Span (thumb to little finger or to little finger)	一拃（张开手掌侯大拇指和小指两端的距离）	gang tay (khoảng cách từ ngón cái đến ngón út)		-	-	-				measures	mesures				
1275	212.1	II	Poing et pouce	First plus thumb (measure)	拳头	nắm tay		-	-	-				measures	mesures				
1276	212.2	II	Coudée	Cubit	肘	cùi tay		-	-	-				measures	mesures				
1277	212.3	II	Toise	Height gauge (to measure somebody's height)	量身高器	sải tay		-	-	-				measures	mesures				
1278	212.3a	III	Toise (2 bras étendus)	Fathom (both arms outstretched)	两只胳膊的距离（距离量词，等于六呎）	sải tay	một giang tay	-	-	-				measures	mesures				
1279	212.3b	III	Toise (épaule-bras)	Fathom (from hand to shoulder)	距离量词：从手到肩膀的距离	một cánh tay (từ tay đến vai)		-	-	-				measures	mesures				
1280	212.4a	III	Poignée (une main)	Handful	一把	một nhúm, một nắm	nắm tay	-	-	-				measures	mesures				
1281	212.4b	III	Poignée (deux mains)	Two handfuls	一大把	vốc		-	-	-				measures	mesures				
1282	212.5	III	Brassée	Armful	两臂合围之量	một ôm		-	-	-				measures	mesures				
1283	213	I	Manger du riz	To eat rice	吃米饭	ăn cơm		sī (cuk)	siː (cok)	hóp ɓaːj				food and drink	nourriture et boisson				
1284		IV						pāy	ɓaːj	cʰiː				food and drink	nourriture et boisson				
1285		IV	(rural)					hūp (pāy)	hoːp (ɓaːj)					food and drink	nourriture et boisson				
1286	213.1	II	Manger de la viande	To eat meat	吃肉	ăn thịt		sī sāc¢	siː sac	cʰiː sec				food and drink	nourriture et boisson				
1287	213.2	III	Manger, prendre un repas	Eat	吃	ăn, ăn cơm		-	-					food and drink	nourriture et boisson				
1288	213.2a	III	Repas du matin	Breakfast	早餐，早饭	cơm sáng		-	-					food and drink	nourriture et boisson				
1289	213.2b	III	Repas de midi	Lunch	午餐，午饭	cơm trưa		-	-					food and drink	nourriture et boisson				
1290	213.2c	III	Repas du soir	Dinner	晚餐，晚饭	cơm chiều		-	-					food and drink	nourriture et boisson				
1291	213.3	III	Bouchée	Mouthful, morsel	一口	một miếng (cơm)		-	-					food and drink	nourriture et boisson				
1292	213.4	III	Goûter	To taste	尝，品尝	nếm		-	-					food and drink	nourriture et boisson				
1293	213.15	III	Nourrir (un enfant)	To feed (feed a baby)	喂食（给孩子喂食）	nuôi (con)	cho con ăn	-	-					food and drink	nourriture et boisson				
1294	213.5a	III	Nourriture pour enfant	Baby food	婴儿食品	thức ăn cho trẻ		-	-					food and drink	nourriture et boisson				
1295	213.6	III	Nourrir (des porcs)	To feed (feed the pigs)	喂猪	cho heo ăn		-	-					food and drink	nourriture et boisson				
1296	213.6a	III	Patée des porcs	Feedstuffs for pigs	猪饲料	cám heo		-	-					food and drink	nourriture et boisson				
1297	213.7	III	Nourrir (des poulets)	To feed (feed the chickens)	喂鸡	cho gà ăn		-	-					food and drink	nourriture et boisson				
1298	213.7a	III	Nourriture des poulets	Feedstuffs for chickens	鸡饲料	cám gà, thức ăn cho gà		-	-					food and drink	nourriture et boisson				
1299	213.8	III	Croquer, casser sous la dent	To munch	大声咀嚼	nhai rau ráu		-	-					food and drink	nourriture et boisson				
1300	213.9	III	Grignotter	To nibble	轻咬，一点点地咬	cạp, gặm, nhấm		-	-					food and drink	nourriture et boisson				
1301	213.10	III	Grincer des dents	To gnash	咬牙切齿，切齿，咬紧牙齿	nghiến răng		-	-					food and drink	nourriture et boisson				
1302	213.11	III	S’étouffer en mangeant	Choked, choking when eating	呛	mắc nghẹn		-	-					food and drink	nourriture et boisson				
1303	214	I	Boire de l’eau	To drink water	喝水	uống nước		phịk dịk	pʰɤk tɨk	pʰɤk tɯ`k				food and drink	nourriture et boisson				
1304		IV	(en parlant de’autrui)					bisā	pi(ʔ)saː	pisaː				food and drink	nourriture et boisson				
1305		IV						ñāṁ	ɲam					food and drink	nourriture et boisson				
1306	214.1	III	Boire une gorgée	To drink a sip	喝一口	uống một hớp	uống một ngụm	phịk muoy krep	pʰɤk muəj kreːp	-				food and drink	nourriture et boisson				
1307	214.2	III	Gorgée, une gorgée	A sip	一口	(một) ngụm, hớp	một ngụm nước	krep	kreːp	-				food and drink	nourriture et boisson				
1308	215	I	Boire de l’alcool	To drink alcohol	饮酒，喝酒	uống rượu		phịk srā	pʰɤk sraː	pʰɤk sraː				food and drink	nourriture et boisson				
1309	215.1	II	Boire à la jarre	To drink at the jar (with a drinking straw)	用吸管儿喝大壶里面的酒	uống vò rượu cần		phịk srā 'ek	pʰɤk sraː ʔeːc	cʰop/cok sraː				food and drink	nourriture et boisson				
1310	215.1a	III	Chalumeau (pour boire)	Straw (for drinking)	吸管	ống rơm, cần uống		-	-					food and drink	nourriture et boisson				
1311	215.1b	III	Corne à eau	Horn used as a container for drinking water	用来装水的犄角	sừng, dùng để đựng nước	cống	-	-					food and drink	nourriture et boisson				
1312	215.2	II	Fumer une cigarette	To smoke a cigarette, a pipe	抽（一根）烟	hút một điếu thuốc		-	-					food and drink	nourriture et boisson				
1313	215.3	III	Rouler une cigarette	To roll a cigarette	卷（一根）烟	vấn điếu thuốc		-	-					food and drink	nourriture et boisson				
1314	215.4	III	Mégot	Cigar(ette) end, cigar(ette) butt	烟头，烟蒂	mẩu thuốc tàn		-	-					food and drink	nourriture et boisson				
1315	215.5	III	Nicotine	Nicotine	烟碱	ni-cô-tin	nhựa thuốc	-	-					food and drink	nourriture et boisson				
1316	215.6	III	Pipe	Tobacco pipe	烟杆，烟斗	ống điếu		-	-					food and drink	nourriture et boisson				
1317	215.7	III	Résidu	Residue, remainder	残渣，剩余物	cặn, bã		-	-					food and drink	nourriture et boisson				
1318	215.8	III	Chiquer du tabac	To chew tobacco	嚼烟	ăn thuốc		-	-					food and drink	nourriture et boisson				
1319	215.9	III	Chiquer du bétel	To chew betel	嚼槟榔	ăn trầu		-	-					food and drink	nourriture et boisson				
1320	216	I	Ivre d’alcool	To be drunk	醉	say rượu		sravịṅ	srəvɤŋ	səvɤŋ				food and drink	nourriture et boisson				
1321	216.1	III	Alcoolique	Drunkard	酗酒者，酒鬼	người nghiện rượu	nghiện rượu	(nai) srā	(nej) sraː (adj.)	-				food and drink	nourriture et boisson				
1322		IV						pramịk	prəmɤk (n.)					food and drink	nourriture et boisson				
1323	217	I	Sucre de canne	Cane sugar	蔗糖	đường mía		skar 'aṁbau	skɑː ʔəmpəw	skɒr ʔɔmpɔ`w				food and drink	nourriture et boisson				
1324	217.1	II	Sucre de palmier	Palm sugar	棕榈糖	đường thốt nốt		skar tnot	skɑː tʰnaot	skɒr tənoːt				food and drink	nourriture et boisson				
1325	217.2	II	Mélasse (de canne)	Molasses (of sugar-cane)	糖蜜，糖浆	mật mía		skar raṅū	skɑː rəŋuː	skɒr ŋəŋùːr				food and drink	nourriture et boisson				
1326	217.3	III	Vinaigre	Vinegar	醋	dấm		-	-					food and drink	nourriture et boisson				
1327	217.4	III	Saumure de poisson	Fish sauce	鱼酱	nước mắm		-	-					food and drink	nourriture et boisson				
1328	218	I	Huile (général)	Oil (edible)	油	dầu		preṅ	preːɲ	príːŋ			príːŋ	food and drink	nourriture et boisson				
1329		IV	(de coco)					preṅ ṭūṅ	preːɲ ɗoːŋ	príːŋ ɗúːŋ				food and drink	nourriture et boisson				
1330	218.1	II	Beurre	Butter	黄油	bơ		-	-					food and drink	nourriture et boisson				
1331	218.2	II	Ghee	Ghee	酥油	một loại bơ lỏng làm từ sữa bò, sữa dê	—	-	-					food and drink	nourriture et boisson				
1332	219	I	Sel	Salt	盐	muối		'aṁpil	ʔəmɓɤl	mmel				food and drink	nourriture et boisson				
1333	220	I	Graisse, suif	Fat (n.)	脂肪	mỡ		klāñ¢	kʰlaɲ	kʰlɛɲ				food and drink	nourriture et boisson				
1334	221	I	Viande	Meat	肉	thịt		sāc¢	sac	sɛc				food and drink	nourriture et boisson				
1335	221a	III	Cuisiner (général)	To cook (general)	烹调，烧煮	nấu nướng	nấu ăn	-	-	-				food and drink	nourriture et boisson				
1336	221.1	II	Bouillir, faire bouillir	To boil (water)	沸	(nước) sôi	nấu nước sôi	sṅor sāc¢	sŋao sac	sŋuːr				food and drink	nourriture et boisson				
1337		IV								slɒː				food and drink	nourriture et boisson				
1338		IV						ṭāṁ dịk	ɗam tɨk					food and drink	nourriture et boisson				
1339	221.1a	III	Bouillir, l’eau bout	Boil	沸腾	(nước) sôi		buḥ	puh	-				food and drink	nourriture et boisson				
1340	221.1b	III	Vapeur	Steam	蒸汽，水蒸气	hơi nước		-	-					food and drink	nourriture et boisson				
1341	221.1c	III	Chaud, eau chaude	Hot	热	nóng		-	-					food and drink	nourriture et boisson				
1342	221.1d	III	Tiède, eau tiède	Warm	温	ấm		-	-					food and drink	nourriture et boisson				
1343	221.2	II	Griller (au dessus du feu)	To grill	烤	nướng		'āṁṅ	ʔaŋ	ʔaŋ				food and drink	nourriture et boisson				
1344		IV						rol	rɷːl	cəːr				food and drink	nourriture et boisson				
1345		III	(près de la flamme)					phdāl	pʰtiəl					food and drink	nourriture et boisson				
1346		III	(à la poêle)					līṅ	liːɲ					food and drink	nourriture et boisson				
1347	221.2a	III	Baguette à griller (qui pince les morceaux de nourriture à griller)	Stick for grilling (pinches the food to be grilled)	烤食物用的杆：用来夹食物，放在火上	kẹp nướng		-	-					food and drink	nourriture et boisson				
1348	221.2b	III	Brochette (se pique)	Skewer (pierces the food to be grilled)	串肉杆	cái xiên	xóc, xâu	-	-					food and drink	nourriture et boisson				
1349	221.2c	III	Boucaner à la fumée	To cure and smoke (meat)	熏制	hong khói		-	-					food and drink	nourriture et boisson				
1350	221.2d	III	Exposer au soleil	To bask, to roast in the sun, to put in the sun	晒	phơi nắng		-	-					food and drink	nourriture et boisson				
1351	221.2e	III	Sécher une peau			phơi da		-	-					food and drink	nourriture et boisson				
1352	221.3	II	Rôtir au four	To roast	烘烤	quay		khvai	kʰvaj	-				food and drink	nourriture et boisson				
1353		IV						'āṁṅ	ʔaŋ					food and drink	nourriture et boisson				
1354	221.3a	II	Frire, faire griller dans un fond d'huile (ds une casserole; à petit feu)	To fry	炸/煠	chiên		cien	ciən	cian				food and drink	nourriture et boisson				
1355		IV	Frire (à l’huile/dans un bain d'huile)	to fry	煎	rán		chā	cʰaː	-				food and drink	nourriture et boisson				
1356		III	cuisiner: faire sauter, faire cuire à feu vif	to stir-fry; to sauté	炒	xào													
1357	221.3b	III	Griller sur la braise	Grill over hot coals	用煤火烧烤	nướng than		ṭut	ɗot	ɗot				food and drink	nourriture et boisson				
1358	221.4	II	Cuire dans un bambou	To cook in a bamboo	用竹子煮米饭：将大米和水倒竹子里，再烤	lam cơm, nấu bằng ống tre	lam cơm	ṭut krałān	ɗot krəlaːn	ɗot kəlaːn				food and drink	nourriture et boisson				
1359	221.4a	III	Riz cuit dans un bambou	Rice cooked in bamboo	竹子饭，竹饭	cơm lam		-	-					food and drink	nourriture et boisson				
1360	221.4b	III	Fondre (de la graisse)	To dissolve	熔化，溶解	(mỡ) tan	(mở) tan	-	-					food and drink	nourriture et boisson				
1361	221.5	II	Macérer	To steep	泡	ướp, tẩm		trāṁ	tram	tram				food and drink	nourriture et boisson				
1362	221.6	II	Tremper	To soak	浸泡	ngâm	nhúng	jralak¢	crəluəʔ	cəlòk				food and drink	nourriture et boisson				
1363	221.7	II	Délayer, mélanger	To dilute	稀释，冲淡	hòa, pha		lāy (łaṁ)	liəj (lɑm)	làːj				food and drink	nourriture et boisson				
1364	221.7a	III	Décanter	Decant	滗，滗析，澄清	gạn, chắt	lóng, lắng	-	-					food and drink	nourriture et boisson				
1365	221.7b	III	Malaxer, pétrir	Knead (to knead the dough)	揉（揉面）	nhồi bột		-	-					food and drink	nourriture et boisson				
1366	221.8	II	Riz qui attache (cf. 78a)	Burnt rice (adhering) to bottom of pot	烧焦的饭	cơm cháy 	cơm nhão	pāy kṭāṁṅ	ɓaːj kɗaŋ	ɓaj kəɗaŋ				food and drink	nourriture et boisson				
1367	221.9	III	Fermenter	To ferment	（使）发酵	lên men		-	-					food and drink	nourriture et boisson				
1368	221.9a	III	Levure	Yeast	酵母	men		-	-					food and drink	nourriture et boisson				
1369	221.10	III	Distiller	Distil	蒸馏	cất (rượu)	cất rượu	-	-					food and drink	nourriture et boisson				
1370	221.10a	III	Alcool	Alcohol	酒精	rượu		-	-					food and drink	nourriture et boisson				
1371	221.11	III	Saupoudrer	Sprinkle	洒	rắc (bột)		-	-					food and drink	nourriture et boisson				
1372	221.12	III	Plats, aliments	Dishes	（一道）菜	món, thức ăn		-	-					food and drink	nourriture et boisson				
1373	221.13	III	Boulette de riz	Small rice ball	（手搓成的）小饭团	vắt, nắm cơm		-	-					food and drink	nourriture et boisson				
1374	221.14	III	Hachis	Hash	剁碎的肉	thịt bằm / văm nhỏ		-	-					food and drink	nourriture et boisson				
1375	221.15	III	Saucisse	Sausage	香肠	xúc xích	dồi (thịt)	-	-					food and drink	nourriture et boisson				
1376	221.16	III	Soupe	Soup	浓汤，羹	xúp, cháo	cháo	-	-					food and drink	nourriture et boisson				
1377	221.17a	III	faire cuire	To cook	烧，煮	nấu	nướng	cam'in	cəmʔɤn	-				food and drink	nourriture et boisson				
1378		III	faire cuire du riz dans l'eau	To cook rice (in water)	煮饭	nấu cơm		ṭaṇṭāṁ	ɗənɗam	-				food and drink	nourriture et boisson				
1379		IV	faire cuire du riz dans l'eau (variante)					ṭāṁ	ɗam	-				food and drink	nourriture et boisson				
1380		III	faire cuire (à l’étouffée)	To stew	焖，炖	hầm	để hầm	phṅaṁ	pʰŋɑm	-				food and drink	nourriture et boisson				
1381		III	faire cuire (à la vapeur)	To steam	蒸	đồ, hấp	để hơi nước	caṁhuy	cəmhoj	-				food and drink	nourriture et boisson				
1382		III	faire cuire (à la flamme)	To cook (over the flame)	在火上烤	nấu trên ngọn lửa		'āṁṅ	ʔaŋ	-				food and drink	nourriture et boisson				
1383		III	faire cuire (en soupe, ds sauce)	To cook (in soup / sauce)	煮在汤或酱里面	nấu canh		sla	slɑ	-				food and drink	nourriture et boisson				
1384		III	faire cuire (en bouillon)	To cook in broth/stock	煮在肉汤里面	nấu trong nước dùng		sṅor	sŋao	-				food and drink	nourriture et boisson				
1385	222	I	Veste (vêt. cousu hô.)	Upper garnment (sewn) of men	上衣，上装	áo vét	áo bộ	'āv	ʔaːw	ʔɔw/ kʰoː				clothing and ornaments	vêtements et parures				
1386	222.1	III	Veste (vêt. cousu fê.)	Vest	背心	áo ghi lê, áo ngắn		'āv	ʔaːw	-				clothing and ornaments	vêtements et parures				
1387	222.2	III	Chemise	Shirt	衬衫	áo sơ mi	áo cộc	-	-					clothing and ornaments	vêtements et parures				
1388	222.3	III	Enfiler une chemise	Put on, wear	穿衬衫	mặc áo		-	-					clothing and ornaments	vêtements et parures				
1389	222.4	III	Quitter sa chemise	Undress	脱衬衫	cởi áo		-	-					clothing and ornaments	vêtements et parures				
1390	222.5	III	Couvre-sein	Loose covering for the breast	肚兜	yếm		-	-					clothing and ornaments	vêtements et parures				
1391	222.6	III	Nu, être nu	Naked	裸体	ở truồng		-	-					clothing and ornaments	vêtements et parures				
1392	223	I	Robe (tun. marriage hô)	Dress	连衣裙	áo dài (của phụ nữ), áo đầm (phương ngữ Nam)?	áo dài	'āv phāy	ʔaːw pʰaːj	-				clothing and ornaments	vêtements et parures				
1393		I	(tunique moine)	Monk's tunic	和尚的衣服	áo cà sa	nhà sư áo choàng	cīvar/cībar	cɛj vɑː/cɛj pɔː					clothing and ornaments	vêtements et parures				
